mcsa_id,pdb_chain_id,name,source,family,nprot,seqid_mean,rmsd_mean,nresidues,nresidues_asite,rmsd_asite,cath_class,ec_class
2,1btl_A,Beta-lactamase TEM,Escherichia coli,Class-A beta-lactamase family,6,0.43093333333333333,1.0443339993632343,263,6,0.35384430051184484,alpha/beta,Hydrolases
15,1znb_A,Metallo-beta-lactamase type 2,Bacteroides fragilis,Metallo-beta-lactamase superfamily,6,0.3476666666666667,1.164067253046928,225,8,0.3968464165754896,alpha/beta,Hydrolases
71,1eug_A,Uracil-DNA glycosylase,Escherichia coli B,Uracil-DNA glycosylase (UDG) superfamily,8,0.43275,1.0767218731375825,223,4,0.5337653367753901,alpha/beta,Hydrolases
98,1bsz_C,Peptide deformylase,Escherichia coli K-12,Polypeptide deformylase family,10,0.3652444444444444,2.150636027231224,168,7,0.4391908829790625,alpha/beta,Hydrolases
109,1d3g_A,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Homo sapiens,Dihydroorotate dehydrogenase family,4,0.4425,1.3059641169550409,359,7,1.7788944466541916,alpha/beta,Oxidoreductases
148,1onr_A,Name not found,Escherichia coli,Transaldolase family,5,0.5256,1.062983305214904,316,5,0.565712388182293,alpha/beta,Transferases
151,1q0n_A,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Escherichia coli,HPPK family,4,0.4721666666666667,1.1419346217967032,158,4,1.076248180248113,alpha/beta,Transferases
160,1ako_A,Exodeoxyribonuclease III,Escherichia coli K-12,DNA repair enzymes AP/ExoA family,10,0.33882222222222225,1.4862720610226272,256,7,0.38398327516359904,alpha/beta,Hydrolases
164,1ruv_A,Ribonuclease pancreatic,Bos taurus,Pancreatic ribonuclease family,5,0.4847,1.0873622535565408,123,5,0.5028928022351161,alpha/beta,Lyases
174,9pap_A,Papain,Carica papaya,Peptidase C1 family,12,0.4339545454545454,1.0120328385559478,212,4,0.7457931127425834,alpha/beta,Hydrolases
216,1ca2_A,Carbonic anhydrase 2,Homo sapiens,Alpha-carbonic anhydrase family,5,0.3911,1.093889211697331,256,6,0.30273821870845985,alpha/beta,Lyases
252,1igs_A,Indole-3-glycerol phosphate synthase,Saccharolobus solfataricus,TrpC family,6,0.34786666666666666,1.7513907833842473,245,7,0.6075376440674687,alpha/beta,Lyases
257,1xx2_A,Beta-lactamase,Enterobacter cloacae,Class-C beta-lactamase family,10,0.4539555555555555,0.9408041396832908,359,6,0.42835102455158935,alpha/beta,Hydrolases
258,1sml_A,Metallo-beta-lactamase L1 type 3,Stenotrophomonas maltophilia,Metallo-beta-lactamase superfamily,4,0.3823333333333333,1.9727225324480464,263,7,0.8669529431033943,alpha/beta,Hydrolases
290,1zio_A,Adenylate kinase,Geobacillus stearothermophilus,Adenylate kinase family,7,0.4732380952380952,1.1003842057396347,217,5,0.5518225969753668,alpha/beta,Transferases
328,1lbm_A,N-(5&apos,Thermotoga maritima,TrpF family,4,0.3333333333333333,1.4674981621749503,193,2,0.6447410487895175,alpha/beta,Isomerases
351,1snz_A,Galactose mutarotase,Homo sapiens,Aldose epimerase family,4,0.33,1.3634148155317856,341,3,0.4655065139774517,all-beta,Isomerases
362,1d6o_A,Peptidyl-prolyl cis-trans isomerase FKBP1A,Homo sapiens,FKBP-type PPIase family,7,0.4558571428571429,0.9210332874731684,107,6,0.4284346169011879,alpha/beta,Isomerases
376,1a4l_A,Adenosine deaminase,Mus musculus,Metallo-dependent hydrolases superfamily,4,0.4418333333333333,1.2986944304678838,349,6,0.3725741832995049,alpha/beta,Hydrolases
394,1aj0_A,Dihydropteroate synthase,Escherichia coli,DHPS family,10,0.40068888888888887,2.0218108926536305,280,2,0.5947757736539361,alpha/beta,Transferases
444,1cel_A,Exoglucanase 1,Trichoderma reesei,Glycosyl hydrolase 7 (cellulase C) family,6,0.4632,1.189201809080653,431,4,0.44199847851789065,all-beta,Hydrolases
462,1pnt_A,Low molecular weight phosphotyrosine protein phosphatase,Bos taurus,Low molecular weight phosphotyrosine protein phosphatase family,6,0.37006666666666665,1.1474685944440652,155,6,0.34066324861801,alpha/beta,Hydrolases
467,1cv2_A,Haloalkane dehalogenase,Sphingomonas paucimobilis,Haloalkane dehalogenase family,5,0.4518,1.0300606960770546,293,5,0.44937878197985437,alpha/beta,Hydrolases
480,1czf_A,Endopolygalacturonase II,Aspergillus niger,Glycosyl hydrolase 28 family,4,0.4405,1.046038399662153,335,6,0.4209235131759983,all-beta,Hydrolases
597,1uch_A,Ubiquitin carboxyl-terminal hydrolase isozyme L3,Homo sapiens,Peptidase C12 family,4,0.3755,1.7605889036864142,204,4,0.8957425312483717,alpha/beta,Hydrolases
681,1gq8_A,Pectinesterase,Daucus carota,Pectinesterase family,4,0.30633333333333335,2.875157962464551,300,5,0.7958303824853135,all-beta,Hydrolases
693,2rnf_A,Ribonuclease 4,Homo sapiens,Pancreatic ribonuclease family,7,0.3836190476190477,1.6164240631846494,120,3,0.4889579643730494,alpha/beta,Hydrolases
749,1nml_A,No information found,Marinobacter nauticus,No information found,6,0.5624666666666667,1.9638955168148249,316,1,5.169625303726172,all-alpha,NA
814,1glo_A,Cathepsin S,Homo sapiens,Peptidase C1 family,4,0.45766666666666667,0.7151860508102899,215,4,0.36537011264378716,alpha/beta,Hydrolases
858,1mrq_A,Aldo-keto reductase family 1 member C1,Homo sapiens,Aldo/keto reductase family,16,0.382425,1.8827895366789815,322,4,0.677918977055396,alpha/beta,Oxidoreductases
877,1pbg_A,6-phospho-beta-galactosidase,Lactococcus lactis,Glycosyl hydrolase 1 family,23,0.37448616600790513,1.5170983661512636,447,2,0.47736306654657823,alpha/beta,Hydrolases
908,1rtu_A,Ribonuclease U2,Ustilago sphaerogena,Ribonuclease U2 family,5,0.4509,1.4454540945106171,107,4,0.4911216415637842,alpha/beta,Lyases
